layer	component	fro	top_token	top_token_id	top_score
0	q_a_proj	2568.7	 mountain	16440	466.526
0	q_b_proj	37931.3	HH	41138	116995032.000
1	q_a_proj	3692.1	 Shakespeare	28429	2020.353
1	q_b_proj	95469.5	 basic	6569	730095488.000
2	q_a_proj	8181.9	c	69	4830.175
2	q_b_proj	56153.5	AAAAAAAA	73523	251400704.000
3	q_a_proj	8912.2	O	49	4670.323
3	q_b_proj	157741.2	AAAAAAAA	73523	748188160.000
4	q_a_proj	5522.1	 Step	8850	1700.984
4	q_b_proj	58715.9	https	5395	342040064.000
5	q_a_proj	6818.1	OO	30726	2608.314
5	q_b_proj	40740.4	 next	2894	122684680.000
6	q_a_proj	6345.9	OO	30726	2213.852
6	q_b_proj	129601.6	original	23844	462191424.000
7	q_a_proj	6590.9	SC	5692	979.424
7	q_b_proj	31637.1	AAAA	29577	92221224.000
8	q_a_proj	6525.8	 Management	7967	1198.717
8	q_b_proj	24684.8	static	15514	71905560.000
9	q_a_proj	7126.5	bv	100177	1170.647
9	q_b_proj	24127.3	 g	336	56506496.000
10	q_a_proj	6732.5	 n	313	1274.768
10	q_b_proj	30540.7	 MF	44410	72025656.000
11	q_a_proj	4498.6	 multicast	123048	567.146
11	q_b_proj	21556.7	Ow	98262	44528520.000
12	q_a_proj	5359.6	OO	30726	1740.744
12	q_b_proj	33297.4	Lie	93312	101259792.000
13	q_a_proj	6514.9	 n	313	973.402
13	q_b_proj	24161.0	 HTTP	33118	55309440.000
14	q_a_proj	6808.4	 n	313	1021.351
14	q_b_proj	22218.8	 Vas	35604	59204404.000
15	q_a_proj	4878.5	fu	31234	647.555
15	q_b_proj	15509.8	 encoded	40178	24256590.000
16	q_a_proj	4831.2	 sangat	36190	620.114
16	q_b_proj	17432.6	 resp	1451	32461064.000
17	q_a_proj	4559.5	 Tutor	90881	576.563
17	q_b_proj	15933.3	 prz	12081	37971068.000
18	q_a_proj	4289.9	 Ask	26836	472.074
18	q_b_proj	13781.8	anz	12455	23006302.000
19	q_a_proj	4622.6	 O	541	666.613
19	q_b_proj	16716.5	 temperature	5169	27621622.000
20	q_a_proj	5543.8	KK	35065	840.407
20	q_b_proj	14987.0	 CP	13657	25801334.000
21	q_a_proj	5672.8	 Mail	34472	748.889
21	q_b_proj	15067.0	 elif	19132	25853226.000
22	q_a_proj	4151.9	 Product	11001	576.475
22	q_b_proj	16711.4	 italic	19202	28508498.000
23	q_a_proj	3981.8	 reb	10308	571.995
23	q_b_proj	20407.8	 ctx	50325	32950706.000
24	q_a_proj	4291.2	 contractor	41906	507.098
24	q_b_proj	15383.2	adal	51787	23280492.000
25	q_a_proj	4328.4	Front	45644	458.250
25	q_b_proj	16285.4	 lamb	44468	21612956.000
26	q_a_proj	5226.5	 Hil	28920	625.957
26	q_b_proj	15717.5	 dic	31943	21685148.000
27	q_a_proj	3505.6	 labeled	28794	364.526
27	q_b_proj	15917.9	Mock	52417	25844388.000
28	q_a_proj	4757.4	Sport	71572	525.956
28	q_b_proj	15601.2	Cmd	92195	24231594.000
29	q_a_proj	3891.2	 Dave	30312	557.415
29	q_b_proj	15644.5	 poor	7066	20674612.000
30	q_a_proj	4468.8	Ar	3239	635.574
30	q_b_proj	19477.1	rf	35305	31908962.000
31	q_a_proj	3008.6	 LO	37657	328.960
31	q_b_proj	15763.3	 fixing	43689	23241164.000
32	q_a_proj	4160.1	 Ray	17598	498.916
32	q_b_proj	17677.8	 ff	40954	32872662.000
33	q_a_proj	3827.7	hp	57445	471.782
33	q_b_proj	21111.8	dh	46405	53867344.000
34	q_a_proj	6618.6	September	26933	777.702
34	q_b_proj	21645.3	 kl	16753	34678168.000
35	q_a_proj	4384.1	Finance	96320	490.872
35	q_b_proj	24145.2	dh	46405	49282140.000
36	q_a_proj	7963.1	 Ne	3971	942.722
36	q_b_proj	20141.2	 Gil	21892	33415454.000
37	q_a_proj	9090.3	Ic	127732	1301.210
37	q_b_proj	19485.0	 imports	32341	34463064.000
38	q_a_proj	7518.6	Clark	103967	1125.909
38	q_b_proj	22169.6	 reg	1250	52589168.000
39	q_a_proj	6673.0	National	21972	1000.717
39	q_b_proj	22606.8	 grown	14376	45485252.000
40	q_a_proj	8221.7	XI	65154	935.650
40	q_b_proj	27861.6	 abusive	67333	50869748.000
41	q_a_proj	10381.5	 Trinidad	83200	1376.718
41	q_b_proj	23819.6	 tell	4575	44517872.000
42	q_a_proj	6700.2	 Dare	122976	722.794
42	q_b_proj	25293.0	 Try	18192	50662720.000
43	q_a_proj	6461.3	extension	48711	717.577
43	q_b_proj	27252.6	 reg	1250	62030764.000
44	q_a_proj	10557.5	 Den	9974	1419.997
44	q_b_proj	22029.9	 purified	49732	40749096.000
45	q_a_proj	11716.2	 UnityEngine	52753	1949.587
45	q_b_proj	25241.4	 REVIEW	71463	38304988.000
46	q_a_proj	8445.2	 Parker	35351	1270.803
46	q_b_proj	27225.1	 bool	12270	47438140.000
47	q_a_proj	9764.1	abil	7816	1511.335
47	q_b_proj	23798.5	 stronger	17020	44766248.000
48	q_a_proj	11890.3	 Gro	19460	1818.589
48	q_b_proj	31919.8	 Those	15728	83636136.000
49	q_a_proj	10429.6	 pure	11367	1542.992
49	q_b_proj	32925.6	Compute	109268	108774360.000
50	q_a_proj	11374.9	Score	26824	1856.900
50	q_b_proj	31767.2	 make	1635	75860496.000
51	q_a_proj	11991.3	AAAA	29577	1977.086
51	q_b_proj	22127.8	 Diss	36650	42281032.000
52	q_a_proj	15122.2	 Kim	15262	2159.871
52	q_b_proj	29021.5	 Turkish	32171	64389680.000
53	q_a_proj	6513.5	xF	103201	1065.161
53	q_b_proj	18315.1	 Environmental	15889	21414614.000
54	q_a_proj	10968.1	 quantity	14700	1725.956
54	q_b_proj	28515.3	 phenotypic	78876	62541616.000
55	q_a_proj	6916.6	 yang	4292	910.048
55	q_b_proj	26503.0	 Get	6757	61352776.000
56	q_a_proj	11387.2	 aw	6326	1646.719
56	q_b_proj	21214.9	 enormous	25896	39260244.000
57	q_a_proj	11085.2	ocy	18140	1508.484
57	q_b_proj	17166.9	 torch	34536	27886508.000
58	q_a_proj	14114.6	umin	9818	2182.891
58	q_b_proj	19720.6	 numpy	37369	49947528.000
59	q_a_proj	12607.3	 hiking	43112	1907.399
59	q_b_proj	19402.2	 Lang	22131	22661986.000
60	q_a_proj	14979.3	KY	60812	2332.347
60	q_b_proj	16783.3	 Nav	13412	36107712.000
