layer	winning_component	fro	top_token	top_token_id	top_score
0	q_b_proj	37931.3	HH	41138	116995032.000
1	q_b_proj	95469.5	 basic	6569	730095488.000
2	q_b_proj	56153.5	AAAAAAAA	73523	251400704.000
3	q_b_proj	157741.2	AAAAAAAA	73523	748188160.000
4	q_b_proj	58715.9	https	5395	342040064.000
5	q_b_proj	40740.4	 next	2894	122684680.000
6	q_b_proj	129601.6	original	23844	462191424.000
7	q_b_proj	31637.1	AAAA	29577	92221224.000
8	q_b_proj	24684.8	static	15514	71905560.000
9	q_b_proj	24127.3	 g	336	56506496.000
10	q_b_proj	30540.7	 MF	44410	72025656.000
11	q_b_proj	21556.7	Ow	98262	44528520.000
12	q_b_proj	33297.4	Lie	93312	101259792.000
13	q_b_proj	24161.0	 HTTP	33118	55309440.000
14	q_b_proj	22218.8	 Vas	35604	59204404.000
15	q_b_proj	15509.8	 encoded	40178	24256590.000
16	q_b_proj	17432.6	 resp	1451	32461064.000
17	q_b_proj	15933.3	 prz	12081	37971068.000
18	q_b_proj	13781.8	anz	12455	23006302.000
19	q_b_proj	16716.5	 temperature	5169	27621622.000
20	q_b_proj	14987.0	 CP	13657	25801334.000
21	q_b_proj	15067.0	 elif	19132	25853226.000
22	q_b_proj	16711.4	 italic	19202	28508498.000
23	q_b_proj	20407.8	 ctx	50325	32950706.000
24	q_b_proj	15383.2	adal	51787	23280492.000
25	q_b_proj	16285.4	 lamb	44468	21612956.000
26	q_b_proj	15717.5	 dic	31943	21685148.000
27	q_b_proj	15917.9	Mock	52417	25844388.000
28	q_b_proj	15601.2	Cmd	92195	24231594.000
29	q_b_proj	15644.5	 poor	7066	20674612.000
30	q_b_proj	19477.1	rf	35305	31908962.000
31	q_b_proj	15763.3	 fixing	43689	23241164.000
32	q_b_proj	17677.8	 ff	40954	32872662.000
33	q_b_proj	21111.8	dh	46405	53867344.000
34	q_b_proj	21645.3	 kl	16753	34678168.000
35	q_b_proj	24145.2	dh	46405	49282140.000
36	q_b_proj	20141.2	 Gil	21892	33415454.000
37	q_b_proj	19485.0	 imports	32341	34463064.000
38	q_b_proj	22169.6	 reg	1250	52589168.000
39	q_b_proj	22606.8	 grown	14376	45485252.000
40	q_b_proj	27861.6	 abusive	67333	50869748.000
41	q_b_proj	23819.6	 tell	4575	44517872.000
42	q_b_proj	25293.0	 Try	18192	50662720.000
43	q_b_proj	27252.6	 reg	1250	62030764.000
44	q_b_proj	22029.9	 purified	49732	40749096.000
45	q_b_proj	25241.4	 REVIEW	71463	38304988.000
46	q_b_proj	27225.1	 bool	12270	47438140.000
47	q_b_proj	23798.5	 stronger	17020	44766248.000
48	q_b_proj	31919.8	 Those	15728	83636136.000
49	q_b_proj	32925.6	Compute	109268	108774360.000
50	q_b_proj	31767.2	 make	1635	75860496.000
51	q_b_proj	22127.8	 Diss	36650	42281032.000
52	q_b_proj	29021.5	 Turkish	32171	64389680.000
53	q_b_proj	18315.1	 Environmental	15889	21414614.000
54	q_b_proj	28515.3	 phenotypic	78876	62541616.000
55	q_b_proj	26503.0	 Get	6757	61352776.000
56	q_b_proj	21214.9	 enormous	25896	39260244.000
57	q_b_proj	17166.9	 torch	34536	27886508.000
58	q_b_proj	19720.6	 numpy	37369	49947528.000
59	q_b_proj	19402.2	 Lang	22131	22661986.000
60	q_b_proj	16783.3	 Nav	13412	36107712.000
