layer	component	fro	rank	token	token_id	score
3	q_b_proj	157741.2	1	(st	27821	735908416.000
3	q_b_proj	157741.2	2	/sw	124695	720745280.000
3	q_b_proj	157741.2	3	_un	55321	720007360.000
3	q_b_proj	157741.2	4	_TR	94492	716709312.000
3	q_b_proj	157741.2	5	uclear	23503	704710016.000
6	q_b_proj	129601.6	1	original	23844	462191424.000
6	q_b_proj	129601.6	2	doi	8271	400213920.000
6	q_b_proj	129601.6	3	-dis	27169	381803872.000
6	q_b_proj	129601.6	4	 your	782	377973120.000
6	q_b_proj	129601.6	5	 our	1132	372044256.000
1	q_b_proj	95469.5	1	 basic	6569	730095488.000
1	q_b_proj	95469.5	2	 amazing	12274	720301120.000
1	q_b_proj	95469.5	3	 Science	5540	719429056.000
1	q_b_proj	95469.5	4	 awesome	26653	716791552.000
1	q_b_proj	95469.5	5	 Basic	15824	716500288.000
4	q_b_proj	58715.9	1	https	5395	342040064.000
4	q_b_proj	58715.9	2	Footnote	12119	331679872.000
4	q_b_proj	58715.9	3	chat	35038	291082688.000
4	q_b_proj	58715.9	4	 https	5042	287100000.000
4	q_b_proj	58715.9	5	 Mark	5101	274830048.000
2	q_b_proj	56153.5	1	\\displaystyle	50269	323807840.000
2	q_b_proj	56153.5	2	Footnote	12119	243440976.000
2	q_b_proj	56153.5	3	\\nThe	108151	229991936.000
2	q_b_proj	56153.5	4	 https	5042	211073648.000
2	q_b_proj	56153.5	5	.pdf	19702	202224384.000
5	q_b_proj	40740.4	1	 next	2894	122684680.000
5	q_b_proj	40740.4	2	.google	30165	116341064.000
5	q_b_proj	40740.4	3	 access	3278	109279160.000
5	q_b_proj	40740.4	4	next	6695	106682056.000
5	q_b_proj	40740.4	5	 original	4632	105027488.000
0	q_b_proj	37931.3	1	_EN	64730	111080872.000
0	q_b_proj	37931.3	2	_TO	55947	103051664.000
0	q_b_proj	37931.3	3	.em	95472	100425768.000
0	q_b_proj	37931.3	4	_IN	26405	98786136.000
0	q_b_proj	37931.3	5	 disks	59050	98099744.000
12	q_b_proj	33297.4	1	Lie	93312	101259792.000
12	q_b_proj	33297.4	2	 Bul	15272	92122320.000
12	q_b_proj	33297.4	3	 Difference	34570	92116912.000
12	q_b_proj	33297.4	4	 keb	42245	90963976.000
12	q_b_proj	33297.4	5	.Back	82563	89073504.000
49	q_b_proj	32925.6	1	Compute	109268	108774360.000
49	q_b_proj	32925.6	2	 nearby	18310	91463464.000
49	q_b_proj	32925.6	3	 Compute	60919	88818288.000
49	q_b_proj	32925.6	4	 Chao	117998	87123896.000
49	q_b_proj	32925.6	5	 UFC	67808	86087504.000
48	q_b_proj	31919.8	1	 Those	15728	83636136.000
48	q_b_proj	31919.8	2	icro	2957	83275104.000
48	q_b_proj	31919.8	3	next	6695	81131456.000
48	q_b_proj	31919.8	4	 Nicht	111201	80200024.000
48	q_b_proj	31919.8	5	 reg	1250	79821400.000
50	q_b_proj	31767.2	1	 make	1635	75860496.000
50	q_b_proj	31767.2	2	 its	1009	70059896.000
50	q_b_proj	31767.2	3	 find	1783	62180960.000
50	q_b_proj	31767.2	4	 int	688	61927988.000
50	q_b_proj	31767.2	5	 kinds	14021	61356172.000
7	q_b_proj	31637.1	1	original	23844	92136088.000
7	q_b_proj	31637.1	2	\\rangle	48250	74930408.000
7	q_b_proj	31637.1	3	 separate	9217	74671384.000
7	q_b_proj	31637.1	4	\\langle	96454	74367984.000
7	q_b_proj	31637.1	5	 alumina	109275	73544904.000
10	q_b_proj	30540.7	1	_POSTSUPERSCRIPT	38195	78848824.000
10	q_b_proj	30540.7	2	 heater	53236	69992376.000
10	q_b_proj	30540.7	3	 Senior	20476	67393624.000
10	q_b_proj	30540.7	4	Serial	25717	66345912.000
10	q_b_proj	30540.7	5	 proprietary	55871	65610828.000
